Participant name,Preference,Gaze event duration 1,Gaze event duration 2
Participant65,0,6.062197496,3.498088643
Participant66,0,2.802062147,3.461337209
Participant67,0,3.135798732,2.878685071
Participant68,1,4.480796357,5.034642868
Participant69,0,4.369275311,2.448657989
Participant70,1,4.552812717,5.365847822
Participant71,0,4.902242181,3.873693334
Participant72,0,3.611959394,4.141782144
Participant73,0,3.667692362,2.346030749
Participant74,0,3.088605909,1.191810926
Participant75,1,3.462057038,3.677854759
Participant76,1,5.284898364,4.401252605
Participant77,0,6.185134556,2.056592802
Participant78,1,5.25019133,5.746119013
Participant79,0,3.979846773,1.106191424
Participant80,0,4.219038015,1.875421552
Participant81,0,2.779797707,3.778550963
Participant82,0,4.195193299,2.661228969
Participant83,1,5.10649925,4.76573571
Participant84,1,5.128973282,2.594558456
Participant85,0,4.451536508,2.071471552
Participant86,1,5.432600994,6.176215646
Participant87,0,6.400786237,3.241858495
Participant88,1,4.702049177,4.642358176
Participant89,1,4.009796127,3.47521778
Participant90,1,5.114127334,5.387974882
Participant91,0,4.886173692,2.995956429
Participant92,1,5.688378273,5.152144608
Participant93,1,5.426101094,5.567345074
Participant94,1,4.313410252,5.51910213
Participant95,0,2.378001782,2.871138876
Participant96,1,5.201570986,5.068963428
Participant97,1,4.303664359,3.70497061
Participant98,1,3.408410512,2.947546506
Participant99,1,4.025433241,4.294720722
Participant100,0,3.173863501,4.285835418
Participant101,0,5.673412231,5.777956248
Participant102,0,3.311480508,3.124462108
Participant103,1,4.123762269,6.340229472
Participant104,0,4.761060376,2.95938101
Participant105,0,5.628546829,2.87215931
Participant106,0,4.713464901,2.324900267
Participant107,1,5.225791071,5.670630905
Participant108,1,4.264989931,4.462043557
Participant109,0,4.214707291,2.514177523
Participant110,1,5.657460833,6.242685268
Participant111,1,4.088156642,4.474819183
Participant112,0,6.594622878,2.978454146
Participant113,0,4.006047306,4.310998715
Participant114,1,5.290408806,4.471664046
Participant115,1,5.946844043,5.702520811
Participant116,0,5.16006448,0.964405428
Participant117,0,4.796672421,3.018385432
Participant118,1,6.434544796,1.241119016
Participant119,0,5.816632654,2.916584959
Participant120,1,3.548184434,2.40200638
Participant121,1,4.222599748,3.607157873
Participant122,0,2.526140364,2.521820952
Participant123,1,4.169381673,3.227823932
Participant124,0,2.597458577,2.833006087
Participant125,0,5.150593575,3.245090085
Participant126,1,3.648438417,4.084048087
Participant127,1,5.2851969,5.898016935
Participant128,1,4.000816021,2.830344068
Participant129,0,5.570951553,2.85868558
Participant130,0,3.510479095,5.438714487
Participant131,1,4.410076773,3.751084697
Participant132,1,5.415150886,5.857512038
Participant133,0,5.42145399,2.633493608
Participant134,0,4.268140137,1.329061186
Participant135,1,5.140164201,5.016523038
Participant136,1,5.045702428,4.892255857
Participant137,1,4.077240904,4.544105156
Participant138,1,5.240175175,4.695157697
Participant139,0,3.760413924,3.017844278
Participant140,0,4.199716204,1.508466338
Participant141,1,4.399611592,5.110450228
Participant142,0,5.320514784,3.670250515
Participant143,1,3.896862043,2.207547322
Participant144,1,4.577292933,5.48944759
Participant145,1,4.937976264,3.972268491
Participant146,1,4.725613283,3.914407713
Participant147,0,3.225314397,1.648475377
Participant148,0,3.963246561,1.107930284
Participant149,0,6.28281146,2.268043676
Participant150,0,5.59630075,1.993543488
Participant151,0,4.717553703,3.583386628
Participant152,0,6.137627058,3.610943775
Participant153,1,4.711575789,3.990995325
Participant154,0,5.130207237,3.532106042
Participant155,1,4.444287649,3.647281221
Participant156,0,4.33608209,3.348696091
Participant157,0,3.706780333,3.093393959
Participant158,1,4.945277694,4.708082203
Participant159,1,6.370533572,4.912934625
Participant160,1,4.754194806,4.256967077
Participant161,1,4.738054931,5.760845063
Participant162,1,6.020996009,5.940428177
Participant163,1,5.614180309,6.557446303
Participant164,1,4.619020564,4.161947392
Participant165,0,2.851290196,2.032026961
Participant166,1,4.520171847,4.851972216
Participant167,1,3.674755407,5.509435167
Participant168,1,4.859796923,5.565086508
Participant169,1,4.541342763,2.688786911
Participant170,1,4.34117663,4.426320307
Participant171,0,5.277544516,2.322761472
Participant172,1,3.966189037,3.776774643
Participant173,0,3.796495618,2.719712268
Participant174,0,5.443460988,1.158313321
Participant175,0,4.298433145,3.838903014
Participant176,0,4.884717905,2.881902009
Participant177,1,4.636044994,4.829359557
Participant178,1,4.319613485,5.069655343
Participant179,0,5.111425727,2.687477789
Participant180,0,4.364657512,2.335648172
Participant181,1,3.923212184,4.28115929
Participant182,1,5.22812515,5.557955853
Participant183,1,5.553263696,4.974897282
Participant184,0,5.550438844,3.291903822
Participant185,1,4.763413412,5.907997269
Participant186,1,3.241519643,4.414043633
Participant187,0,6.012320558,4.29302302
Participant188,0,3.508774859,3.003334576
Participant189,1,4.649619968,3.926881584
Participant190,1,3.482539918,5.259121118
Participant191,0,5.478390046,4.385710317
Participant192,1,4.667513024,4.233250536
Participant193,1,5.614388132,3.626737833
Participant194,0,2.68048779,1.274760704
Participant195,1,3.899929732,4.475518424
Participant196,1,6.082774633,4.273925831
Participant197,1,8.08422581,7.184255878
Participant198,0,6.150347645,1.03573458
Participant199,1,4.192193278,5.233671331
Participant200,1,4.138387016,4.128055554
Participant201,1,4.215424928,5.550820388
