participant_id,fixation_id,x,y,preference,fixation_duration,pupil_diameter
5,8,480.8,297.0,Caprice,347.3,3.3083
5,9,1442.0,791.0,Caprice,275.6,2.8567
5,10,1360.8,328.2,Caprice,197.4,2.6845
6,1,1483.1,271.0,Caprice,392.6,3.4264
6,2,1778.6,483.2,Caprice,451.3,3.7274
6,3,498.3,747.5,Caprice,427.3,3.6317
6,4,492.7,699.7,Caprice,618.7,3.8816
6,5,1496.4,724.6,Caprice,313.9,3.3037
6,6,1480.2,281.8,Caprice,327.2,3.1642
6,7,553.1,172.8,Caprice,601.0,3.6804
7,1,1426.1,742.7,WaferRoll,344.8,3.1982
7,2,1482.2,694.4,WaferRoll,333.0,3.1507
7,3,1468.5,806.3,WaferRoll,297.2,3.2194
7,4,1481.1,758.6,WaferRoll,355.5,3.1592
7,5,1801.1,419.0,WaferRoll,226.5,3.3654
7,6,321.9,670.5,WaferRoll,179.5,3.0504
7,7,1438.6,283.6,WaferRoll,314.5,3.3264
7,8,1562.0,749.4,WaferRoll,306.5,3.3286
7,9,519.9,662.0,WaferRoll,175.2,3.1483
8,1,1460.8,305.0,Caprice,158.5,3.1432
8,2,657.4,726.4,Caprice,304.6,3.4821
8,3,1522.0,252.6,Caprice,146.1,3.1615
8,4,1429.2,282.2,Caprice,235.4,3.0930
8,5,500.9,316.4,Caprice,265.4,3.3698
8,6,1688.5,354.8,Caprice,205.1,3.2516
8,7,476.0,308.3,Caprice,283.9,3.5145
8,8,1467.9,736.1,Caprice,215.2,3.0596
9,1,430.7,850.0,Caprice,500.2,3.4173
9,2,567.8,259.4,Caprice,412.3,3.5820
9,3,1536.4,749.8,Caprice,269.9,3.3631
9,4,416.3,698.8,Caprice,387.3,3.3956
9,5,472.3,287.1,Caprice,451.4,3.5939
9,6,485.0,722.6,Caprice,461.8,3.4809
9,7,1724.0,399.3,Caprice,309.0,3.2971
9,8,1379.5,717.9,Caprice,269.7,3.4078
9,9,1531.5,767.0,Caprice,245.5,3.1171
9,10,1764.0,442.5,Caprice,328.5,3.4520
10,1,1705.0,439.0,WaferRoll,266.9,3.4779
10,2,435.7,903.7,WaferRoll,156.5,3.1422
10,3,661.9,207.7,WaferRoll,319.8,2.9024
10,4,1559.0,785.7,WaferRoll,517.6,3.3230
10,5,1734.3,422.2,WaferRoll,517.0,3.4622
10,6,428.6,266.8,WaferRoll,282.6,3.1532
10,7,541.7,752.8,WaferRoll,331.0,3.1580
11,1,545.4,272.3,Caprice,337.9,3.4832
11,2,499.8,312.6,Caprice,409.5,3.6655
11,3,1583.7,682.0,Caprice,174.7,3.1163
11,4,496.4,247.5,Caprice,403.0,3.3235
11,5,1445.7,282.1,Caprice,288.3,3.1072
11,6,1528.3,326.9,Caprice,225.6,3.0983
11,7,641.1,673.8,Caprice,285.3,3.4178
12,1,1411.1,310.5,Caprice,263.4,3.0683
12,2,1411.8,665.5,Caprice,390.8,2.7884
12,3,1492.5,762.7,Caprice,321.5,2.9967
12,4,512.2,211.5,Caprice,785.2,3.3594
12,5,1767.3,445.4,Caprice,464.1,3.0356
12,6,356.2,583.7,Caprice,411.4,3.2780
12,7,1462.3,337.7,Caprice,389.6,3.1053
12,8,558.8,401.6,Caprice,591.8,3.1443
12,9,1408.4,816.1,Caprice,327.5,2.9617
12,10,494.9,653.2,Caprice,485.9,3.3669
13,1,1505.2,757.1,WaferRoll,438.4,3.2724
13,2,1493.6,701.6,WaferRoll,299.6,3.5908
13,3,1743.2,404.7,WaferRoll,350.2,3.3805
13,4,387.8,112.7,WaferRoll,187.3,3.0961
13,5,495.6,356.0,WaferRoll,357.2,3.0126
13,6,483.4,361.9,WaferRoll,206.7,3.2131
13,7,477.0,351.1,WaferRoll,273.9,2.9099
13,8,489.8,246.9,WaferRoll,173.4,2.9556
13,9,504.6,650.3,WaferRoll,180.6,3.0554
14,1,380.8,758.5,Caprice,374.4,3.3116
14,2,1463.5,311.8,Caprice,182.3,2.9151
14,3,1444.7,283.1,Caprice,152.1,3.0417
14,4,505.0,280.4,Caprice,278.4,3.1466
14,5,1417.0,711.8,Caprice,149.5,2.8811
14,6,1753.5,404.3,Caprice,157.3,3.0021
14,7,620.3,376.4,Caprice,416.7,3.1641
14,8,1513.6,664.7,Caprice,180.7,2.9638
14,9,603.2,343.5,Caprice,327.4,3.1106
14,10,1506.2,200.4,Caprice,250.0,2.9039
15,1,585.9,409.3,Caprice,258.6,3.3804
15,2,1454.9,336.8,Caprice,273.6,3.2875
15,3,500.1,595.7,Caprice,456.3,3.6686
15,4,517.0,752.6,Caprice,381.6,3.3822
15,5,1484.7,697.6,Caprice,215.4,3.0446
15,6,526.2,604.2,Caprice,360.6,3.4321
15,7,1778.6,409.7,Caprice,213.0,3.1151
15,8,1465.6,290.0,Caprice,261.0,3.1576
15,9,561.7,758.6,Caprice,263.0,3.5184
15,10,412.5,303.1,Caprice,382.5,3.4850
16,1,616.6,325.2,Caprice,459.1,3.4060
16,2,526.1,257.0,Caprice,354.7,3.5411
16,3,1402.6,349.9,Caprice,233.0,3.0202
16,4,1421.9,333.4,Caprice,207.2,2.8421
16,5,572.7,904.6,Caprice,340.9,3.1971
16,6,1591.3,815.2,Caprice,125.4,3.3899
16,7,1508.0,295.5,Caprice,214.8,3.2819
16,8,599.3,668.9,Caprice,383.8,3.6190
16,9,581.0,694.1,Caprice,184.4,3.6361
16,10,1487.0,285.3,Caprice,220.6,3.2793
17,1,1476.8,257.0,Caprice,123.6,3.7109
17,2,499.1,333.9,Caprice,177.5,3.7423
17,3,1447.6,372.3,Caprice,242.1,3.3035
17,4,1421.4,339.4,Caprice,168.8,3.3269
17,5,642.8,716.9,Caprice,287.1,3.5810
17,6,1460.1,231.4,Caprice,194.8,3.3494
17,7,1402.9,687.8,Caprice,169.1,3.6931
17,8,1509.4,268.1,Caprice,164.0,3.4706
17,9,444.4,351.7,Caprice,344.0,3.7936
18,1,557.4,615.9,WaferRoll,161.0,2.8484
18,2,1469.4,330.4,WaferRoll,193.8,3.1887
18,3,1766.0,463.2,WaferRoll,239.9,3.4838
18,4,563.2,690.1,WaferRoll,174.5,2.6919
18,5,1412.4,309.7,WaferRoll,261.5,3.4104
18,6,1429.8,277.4,WaferRoll,217.0,3.1084
19,1,514.0,319.5,Caprice,413.7,3.4694
19,2,1664.1,462.6,Caprice,320.0,3.2269
19,3,1778.8,408.3,Caprice,328.7,3.1599
19,4,1422.4,739.5,Caprice,325.9,3.0856
19,5,1447.1,288.2,Caprice,225.2,3.4092
19,6,1610.3,819.3,Caprice,334.3,3.2559
19,7,507.8,739.0,Caprice,401.5,3.8399
20,1,1504.6,337.3,Caprice,183.9,3.3195
20,2,1743.5,465.3,Caprice,171.6,3.3640
20,3,470.0,305.4,Caprice,305.4,3.5981
20,4,1465.0,270.1,Caprice,198.8,3.2959
20,5,490.9,418.3,Caprice,360.6,3.3774
20,6,492.2,625.3,Caprice,349.1,3.5179
20,7,496.5,841.2,Caprice,309.4,3.4833
20,8,546.5,686.1,Caprice,251.2,3.5984
20,9,1474.8,258.0,Caprice,180.6,3.2255
20,10,576.9,739.1,Caprice,373.6,3.5432
21,1,1439.2,285.6,Caprice,259.4,3.1156
21,2,1490.9,302.4,Caprice,193.6,3.3166
21,3,625.4,412.1,Caprice,407.3,3.5192
21,4,1745.2,469.1,Caprice,233.2,3.4736
21,5,567.5,323.4,Caprice,446.2,3.5844
21,6,1467.8,277.0,Caprice,318.8,3.1947
21,7,1328.5,868.4,Caprice,276.3,3.2797
22,1,500.2,423.5,WaferRoll,210.5,3.8419
22,2,1712.7,420.2,WaferRoll,243.7,3.9470
22,3,1415.3,325.9,WaferRoll,293.1,4.0193
22,4,560.5,802.3,WaferRoll,179.3,3.9096
22,5,1570.2,729.1,WaferRoll,278.8,3.9745
22,6,1741.3,444.0,WaferRoll,310.1,3.6948
22,7,1540.6,642.5,WaferRoll,257.8,3.8623
22,8,1446.8,190.4,WaferRoll,334.2,4.1812
22,9,1475.8,262.3,WaferRoll,171.3,3.9350
23,1,542.4,611.1,Caprice,266.7,3.3918
23,2,1385.7,683.2,Caprice,191.5,3.1452
23,3,603.4,251.5,Caprice,184.1,3.1464
23,4,1723.4,409.2,Caprice,133.8,3.1348
23,5,599.7,739.4,Caprice,320.5,3.4072
23,6,1462.1,683.5,Caprice,130.4,3.0648
23,7,519.6,657.5,Caprice,245.7,3.4178
24,1,1441.7,292.3,WaferRoll,748.9,4.3168
24,2,1822.5,398.0,WaferRoll,256.6,4.0248
24,3,412.7,758.9,WaferRoll,232.4,3.9088
24,4,459.3,309.6,WaferRoll,275.8,3.8925
24,5,497.8,701.8,WaferRoll,283.3,3.5702
24,6,503.1,830.6,WaferRoll,300.0,3.5010
25,1,1494.5,745.6,WaferRoll,272.2,3.2611
25,2,1494.2,226.1,WaferRoll,207.0,3.5918
25,3,1791.8,430.5,WaferRoll,304.8,3.1399
25,4,1732.5,377.1,WaferRoll,288.5,3.3686
25,5,1781.7,400.2,WaferRoll,289.3,3.1474
25,6,501.3,693.1,WaferRoll,169.5,2.9184
25,7,1338.7,279.5,WaferRoll,212.6,3.5730
25,8,347.9,291.4,WaferRoll,131.2,2.8227
25,9,580.8,588.5,WaferRoll,119.6,3.1101
25,10,527.2,282.0,WaferRoll,180.0,2.7494
26,1,586.6,736.9,WaferRoll,155.0,3.2889
26,2,1451.6,340.5,WaferRoll,332.1,3.3675
26,3,480.1,621.7,WaferRoll,171.1,3.2386
26,4,371.9,583.0,WaferRoll,208.4,3.0197
26,5,1611.2,717.1,WaferRoll,245.5,3.4542
26,6,577.1,283.4,WaferRoll,229.6,3.1246
27,1,534.8,738.4,Caprice,335.8,3.6524
27,2,1640.2,716.5,Caprice,250.2,3.1660
27,3,1481.8,722.2,Caprice,391.2,3.0549
27,4,423.8,805.5,Caprice,352.5,3.3773
27,5,520.9,376.7,Caprice,452.7,3.7051
27,6,624.7,730.6,Caprice,466.0,3.6717
27,7,482.9,286.4,Caprice,316.8,3.6054
27,8,1458.4,694.3,Caprice,279.4,3.1574
27,9,1766.6,458.3,Caprice,219.8,3.2453
27,10,1488.1,751.7,Caprice,273.4,3.2806
28,1,1469.9,387.9,WaferRoll,377.5,3.1324
28,2,1419.5,383.4,WaferRoll,428.3,3.1660
28,3,505.8,321.9,WaferRoll,172.1,2.6713
28,4,1591.4,784.6,WaferRoll,266.2,3.1672
28,5,544.5,819.6,WaferRoll,184.2,2.7038
28,6,445.7,746.2,WaferRoll,291.5,2.6254
28,7,429.2,726.8,WaferRoll,179.6,2.8270
28,8,1378.7,341.5,WaferRoll,308.3,3.0865
28,9,399.6,644.2,WaferRoll,420.6,2.8105
28,10,1518.5,264.5,WaferRoll,406.4,3.2638
29,1,410.2,393.6,WaferRoll,162.6,3.4614
29,2,1690.5,451.3,WaferRoll,325.1,3.9278
29,3,1496.5,265.2,WaferRoll,260.1,3.8544
29,4,1422.0,748.0,WaferRoll,347.7,3.7444
29,5,1500.7,633.9,WaferRoll,487.2,3.9402
29,6,591.8,667.2,WaferRoll,158.0,3.2390
29,7,1772.9,455.8,WaferRoll,368.8,3.7189
29,8,511.6,372.2,WaferRoll,196.2,3.3827
30,1,1794.3,450.9,Caprice,295.2,3.5053
30,2,1466.8,281.4,Caprice,373.0,3.6069
30,3,402.4,297.3,Caprice,546.1,3.7239
30,4,994.9,681.0,Caprice,300.2,3.9315
30,5,348.8,687.0,Caprice,366.7,3.7489
30,6,410.5,314.5,Caprice,578.8,3.6222
30,7,1423.4,355.1,Caprice,178.5,3.5446
30,8,573.7,408.6,Caprice,537.0,3.8285
31,1,553.4,701.3,WaferRoll,126.9,3.3120
31,2,1463.3,238.9,WaferRoll,243.5,3.6415
31,3,538.6,778.4,WaferRoll,275.2,3.4624
31,4,640.8,332.3,WaferRoll,212.0,3.5625
31,5,516.6,759.9,WaferRoll,176.1,3.2731
31,6,582.6,715.3,WaferRoll,198.1,3.4440
31,7,1700.4,453.2,WaferRoll,296.7,3.9604
31,8,563.1,806.8,WaferRoll,176.2,3.4872
32,1,423.3,210.8,Caprice,238.9,3.8644
32,2,522.7,259.2,Caprice,311.7,3.6922
32,3,1465.1,708.2,Caprice,280.5,3.7087
32,4,468.4,359.4,Caprice,393.8,3.7468
32,5,1724.7,401.8,Caprice,249.2,3.6590
32,6,581.7,327.4,Caprice,467.1,3.6232
33,1,1378.1,350.0,WaferRoll,441.9,3.4998
33,2,467.2,796.3,WaferRoll,284.4,3.3146
33,3,459.9,198.7,WaferRoll,350.3,3.0962
33,4,655.5,724.3,WaferRoll,375.8,3.1494
33,5,1451.0,335.8,WaferRoll,588.4,3.5040
33,6,1405.6,365.2,WaferRoll,343.4,3.4859
33,7,1128.7,842.1,WaferRoll,470.8,3.5183
33,8,1691.0,427.6,WaferRoll,803.7,3.6106
33,9,1491.5,675.1,WaferRoll,494.3,3.6778
34,1,1493.3,285.3,Caprice,224.2,3.5763
34,2,1531.6,710.7,Caprice,196.5,3.5460
34,3,1535.9,339.1,Caprice,281.5,3.4828
34,4,1417.3,726.9,Caprice,205.7,3.4128
34,5,1383.0,326.9,Caprice,231.4,3.6912
34,6,461.0,682.1,Caprice,315.1,3.9086
35,1,705.8,692.3,WaferRoll,177.6,3.3061
35,2,1480.3,767.6,WaferRoll,439.9,3.4193
35,3,454.4,277.8,WaferRoll,274.3,3.3699
35,4,1721.5,412.7,WaferRoll,449.3,3.6998
35,5,578.1,799.3,WaferRoll,206.9,3.1119
35,6,589.7,747.1,WaferRoll,289.2,3.3592
35,7,1514.0,715.1,WaferRoll,360.4,3.6809
35,8,1386.2,343.0,WaferRoll,416.9,3.6567
36,1,1441.3,710.4,WaferRoll,471.4,3.2617
36,2,548.3,293.1,WaferRoll,353.0,3.0343
36,3,1511.7,782.0,WaferRoll,427.6,3.2673
36,4,1396.0,712.2,WaferRoll,453.0,3.3279
36,5,439.1,668.4,WaferRoll,250.4,3.0220
36,6,474.0,650.5,WaferRoll,243.9,2.8566
36,7,614.9,611.2,WaferRoll,183.0,2.9777
37,1,1501.5,778.5,Caprice,328.9,2.8739
37,2,558.9,389.8,Caprice,663.1,3.1682
37,3,1640.1,764.0,Caprice,296.3,2.9939
37,4,1390.7,306.7,Caprice,321.7,2.8164
37,5,1401.2,312.5,Caprice,303.7,2.6747
37,6,1382.8,296.9,Caprice,297.7,2.9519
37,7,665.2,339.7,Caprice,490.3,3.1479
37,8,358.2,904.8,Caprice,537.6,3.3876
38,1,499.9,630.7,WaferRoll,308.2,2.8392
38,2,614.5,270.2,WaferRoll,365.9,3.0586
38,3,1649.9,624.2,WaferRoll,682.5,3.3455
38,4,1754.2,455.9,WaferRoll,459.5,3.2273
38,5,515.5,802.6,WaferRoll,325.2,3.0251
38,6,1432.0,279.1,WaferRoll,439.1,3.3163
38,7,545.4,676.2,WaferRoll,318.7,2.8578
38,8,535.9,312.0,WaferRoll,371.7,2.7714
38,9,1462.2,283.6,WaferRoll,572.6,3.3343
38,10,1515.3,277.8,WaferRoll,582.1,3.4176
39,1,605.0,368.6,Caprice,259.3,3.6023
39,2,1791.7,421.2,Caprice,176.1,3.4808
39,3,581.1,824.1,Caprice,240.3,3.7233
39,4,625.0,590.5,Caprice,214.7,3.5746
39,5,1462.2,747.4,Caprice,163.5,3.3565
39,6,500.2,687.0,Caprice,306.1,3.7180
40,1,1610.2,647.1,Caprice,191.1,3.2847
40,2,511.5,875.6,Caprice,479.1,3.8971
40,3,1454.8,315.5,Caprice,238.9,3.1922
40,4,1415.7,824.1,Caprice,246.5,3.2624
40,5,472.8,318.8,Caprice,535.7,3.5046
40,6,1743.1,336.0,Caprice,259.6,3.3240
40,7,1459.1,320.9,Caprice,202.9,3.4082
40,8,568.3,716.3,Caprice,432.9,3.8268
40,9,1533.7,711.6,Caprice,207.1,3.1878
40,10,1454.3,311.4,Caprice,205.6,3.1860
41,1,621.8,771.7,Caprice,478.0,3.4863
41,2,1500.2,296.2,Caprice,324.2,3.2859
41,3,1475.0,279.3,Caprice,346.3,3.2091
41,4,1509.4,314.1,Caprice,320.8,3.2944
41,5,470.1,218.0,Caprice,597.3,3.5336
41,6,445.0,648.5,Caprice,689.0,3.6223
41,7,1405.5,933.1,Caprice,303.2,3.2338
41,8,1419.2,778.9,Caprice,427.7,3.2053
42,1,1490.4,691.6,Caprice,258.8,3.0507
42,2,1582.1,682.0,Caprice,228.0,2.6953
42,3,556.8,666.5,Caprice,371.5,3.2439
42,4,544.8,287.2,Caprice,452.3,3.3942
42,5,1465.2,332.2,Caprice,174.1,2.9974
42,6,469.1,435.0,Caprice,341.7,3.1730
42,7,1516.3,738.9,Caprice,281.8,3.0061
42,8,564.6,293.9,Caprice,429.3,3.2842
42,9,614.9,728.6,Caprice,340.6,3.3566
42,10,1448.7,709.7,Caprice,370.6,3.0298
43,1,1410.3,262.2,Caprice,194.6,3.4157
43,2,531.2,647.3,Caprice,364.8,3.6953
43,3,1395.6,779.8,Caprice,142.0,3.1715
43,4,512.5,708.1,Caprice,333.2,3.8239
43,5,1743.5,391.2,Caprice,169.7,3.5196
43,6,1445.2,327.5,Caprice,196.3,3.1869
43,7,1781.9,388.1,Caprice,140.5,3.4827
43,8,520.3,849.6,Caprice,307.2,3.6476
44,1,1773.2,444.2,WaferRoll,280.4,3.6215
44,2,185.8,599.1,WaferRoll,203.5,3.3476
44,3,1540.9,671.8,WaferRoll,273.1,3.6557
44,4,481.6,786.7,WaferRoll,140.4,3.2609
44,5,1751.1,383.0,WaferRoll,309.4,3.5576
44,6,1761.3,386.6,WaferRoll,293.2,3.7567
45,1,1757.7,410.4,Caprice,148.0,3.2851
45,2,320.0,416.9,Caprice,446.4,3.7507
45,3,1751.2,376.7,Caprice,172.4,3.3051
45,4,1522.2,629.1,Caprice,244.3,3.2691
45,5,1456.9,698.2,Caprice,205.8,3.2196
45,6,617.8,822.1,Caprice,445.9,3.3383
46,1,1414.3,347.6,Caprice,388.2,2.6324
46,2,1509.8,321.9,Caprice,195.4,2.9080
46,3,1526.5,632.5,Caprice,258.6,2.9489
46,4,1750.6,394.2,Caprice,137.7,2.6295
46,5,207.8,634.9,Caprice,355.1,2.9429
46,6,493.6,381.8,Caprice,321.1,3.1384
47,1,1468.9,737.5,WaferRoll,312.6,3.2200
47,2,399.6,670.2,WaferRoll,127.5,2.6425
47,3,344.7,361.4,WaferRoll,206.2,2.9676
47,4,405.4,272.4,WaferRoll,143.2,3.0486
47,5,1533.9,791.0,WaferRoll,294.0,3.1659
47,6,904.9,972.8,WaferRoll,258.4,2.8758
47,7,1471.1,377.1,WaferRoll,307.0,2.9868
48,1,458.6,404.1,WaferRoll,340.8,3.3999
48,2,534.9,692.8,WaferRoll,310.2,3.4649
48,3,606.4,325.8,WaferRoll,271.3,3.5094
48,4,1572.1,774.4,WaferRoll,431.1,3.7461
48,5,458.8,716.8,WaferRoll,424.7,3.6550
48,6,1464.7,668.6,WaferRoll,427.7,3.9282
48,7,1563.6,714.9,WaferRoll,495.2,3.7917
48,8,1440.1,425.7,WaferRoll,537.7,3.8428
48,9,550.1,294.7,WaferRoll,267.2,3.5921
48,10,446.5,392.5,WaferRoll,380.8,3.3054
49,1,819.8,261.0,Caprice,242.4,3.6566
49,2,494.5,647.5,Caprice,213.2,3.8760
49,3,1745.9,400.3,Caprice,166.9,3.4412
49,4,1475.9,778.3,Caprice,163.7,3.5688
49,5,591.9,680.8,Caprice,180.1,3.7179
49,6,1525.0,255.2,Caprice,132.9,3.3682
49,7,596.8,636.0,Caprice,179.7,3.7044
49,8,1492.1,609.1,Caprice,161.6,3.4814
50,1,1478.0,294.4,Caprice,130.6,3.0012
50,2,475.5,282.4,Caprice,370.7,3.5360
50,3,1771.6,373.5,Caprice,130.7,2.7811
50,4,593.1,650.9,Caprice,459.0,3.2559
50,5,1413.5,318.4,Caprice,152.8,3.0062
50,6,1757.1,346.9,Caprice,146.0,2.9467
50,7,1502.9,275.9,Caprice,154.2,3.0324
50,8,478.1,736.0,Caprice,286.2,3.4360
50,9,559.4,733.6,Caprice,210.2,3.0928
50,10,595.4,744.6,Caprice,288.4,3.4486
51,1,1508.8,703.2,Caprice,219.2,3.5515
51,2,1455.1,781.3,Caprice,184.0,3.3223
51,3,1382.6,285.2,Caprice,203.2,3.5334
51,4,1580.2,742.8,Caprice,176.0,3.4133
51,5,1489.7,763.1,Caprice,165.1,3.5410
51,6,1745.0,403.4,Caprice,167.4,3.4028
51,7,500.8,767.5,Caprice,362.0,3.7158
51,8,559.9,783.2,Caprice,214.5,3.7172
52,1,1511.7,710.1,Caprice,215.8,3.4902
52,2,1512.0,248.6,Caprice,199.2,3.4073
52,3,1797.9,453.5,Caprice,212.8,3.4610
52,4,1442.0,613.4,Caprice,165.0,3.5547
52,5,1451.8,276.4,Caprice,157.1,3.4969
52,6,1434.6,827.8,Caprice,276.0,3.3911
53,1,443.4,314.9,Caprice,463.5,3.6603
53,2,529.8,705.4,Caprice,407.7,4.0178
53,3,647.8,314.0,Caprice,461.9,3.8228
53,4,1472.2,397.8,Caprice,265.0,3.5567
53,5,588.1,289.1,Caprice,440.1,3.5812
53,6,1428.1,728.3,Caprice,291.0,3.6427
54,1,1534.1,760.5,Caprice,151.1,3.4724
54,2,1434.6,797.5,Caprice,281.1,3.4626
54,3,1432.6,264.5,Caprice,234.1,3.4941
54,4,1446.5,232.8,Caprice,241.9,3.5918
54,5,611.4,666.1,Caprice,469.4,3.9913
54,6,380.0,185.8,Caprice,347.0,3.6493
55,1,1466.8,834.5,Caprice,332.0,2.7221
55,2,516.1,339.9,Caprice,499.4,3.1666
55,3,543.9,618.8,Caprice,438.5,3.3289
55,4,942.1,512.3,Caprice,514.7,3.3135
55,5,520.5,731.8,Caprice,425.3,3.1737
55,6,596.8,336.8,Caprice,409.7,3.1445
55,7,529.6,186.8,Caprice,525.9,3.1028
55,8,575.7,622.6,Caprice,418.7,3.2083
55,9,1454.9,710.6,Caprice,249.3,2.8904
56,1,1394.7,575.3,Caprice,159.6,3.2437
56,2,1492.8,725.0,Caprice,307.0,3.1050
56,3,508.9,304.4,Caprice,414.0,3.3396
56,4,1736.3,408.7,Caprice,286.4,2.9313
56,5,1709.6,372.5,Caprice,312.2,3.2220
56,6,1466.2,322.4,Caprice,202.9,3.1504
56,7,1423.9,318.2,Caprice,357.7,3.2612
56,8,557.4,329.1,Caprice,509.7,3.4602
56,9,1579.1,724.4,Caprice,249.2,3.2026
56,10,487.1,668.4,Caprice,401.7,3.5107
57,1,472.6,267.7,WaferRoll,157.0,3.4437
57,2,1468.2,289.8,WaferRoll,205.2,3.5547
57,3,1402.6,631.2,WaferRoll,332.2,3.8665
57,4,1561.4,772.6,WaferRoll,433.2,3.5293
57,5,1402.2,259.6,WaferRoll,219.5,3.6718
57,6,1780.3,400.9,WaferRoll,282.0,3.4548
57,7,504.8,451.6,WaferRoll,169.8,3.4013
57,8,1411.3,356.2,WaferRoll,336.6,3.7230
57,9,552.2,625.2,WaferRoll,167.6,3.5159
57,10,1772.3,410.5,WaferRoll,216.7,3.5450
58,1,554.0,484.4,Caprice,337.8,3.7979
58,2,495.2,646.4,Caprice,196.0,3.7836
58,3,404.1,695.9,Caprice,218.2,3.6840
58,4,581.3,315.1,Caprice,211.2,3.8805
58,5,1552.6,749.3,Caprice,121.5,3.6098
58,6,1417.2,243.4,Caprice,196.4,3.3190
59,1,1503.9,305.2,Caprice,275.6,2.9382
59,2,1468.3,255.6,Caprice,218.9,2.8044
59,3,502.3,712.0,Caprice,273.1,2.8639
59,4,542.3,354.2,Caprice,425.5,2.9885
59,5,1732.5,430.6,Caprice,224.7,2.7650
59,6,1487.7,317.0,Caprice,204.1,2.6565
59,7,1375.4,326.7,Caprice,172.4,2.6291
59,8,1019.8,420.2,Caprice,276.2,2.7114
59,9,555.1,319.4,Caprice,454.0,3.1989
59,10,601.6,721.2,Caprice,378.3,3.2353
60,1,1609.7,696.8,Caprice,298.2,3.5177
60,2,595.6,442.8,Caprice,599.2,3.8769
60,3,531.3,462.0,Caprice,386.1,3.7878
60,4,367.4,704.5,Caprice,452.1,3.7095
60,5,1477.9,311.8,Caprice,224.1,3.6338
60,6,571.7,670.1,Caprice,391.2,3.5367
60,7,585.1,795.6,Caprice,412.5,4.1278
60,8,500.7,140.0,Caprice,347.1,3.7401
61,1,1536.2,666.0,Caprice,265.1,3.3959
61,2,1503.1,324.0,Caprice,273.0,3.5815
61,3,560.9,300.3,Caprice,465.1,3.9960
61,4,1439.2,274.9,Caprice,363.9,3.3458
61,5,1427.7,798.9,Caprice,317.6,3.4361
61,6,1466.2,331.8,Caprice,163.8,3.2715
61,7,1445.7,314.5,Caprice,331.0,3.4270
62,1,546.2,339.8,WaferRoll,139.7,3.0797
62,2,552.2,400.6,WaferRoll,149.5,3.0223
62,3,1745.3,429.8,WaferRoll,345.8,3.4402
62,4,1411.1,680.5,WaferRoll,256.2,3.5150
62,5,1480.8,259.9,WaferRoll,324.7,3.3295
62,6,1365.2,832.1,WaferRoll,323.5,3.3326
62,7,556.4,527.8,WaferRoll,152.5,3.1249
62,8,1726.5,434.2,WaferRoll,224.1,3.2511
62,9,1447.5,315.7,WaferRoll,418.3,3.5926
63,1,512.4,735.3,WaferRoll,233.4,3.4398
63,2,350.3,766.3,WaferRoll,322.5,3.7232
63,3,1465.4,662.1,WaferRoll,460.7,3.8880
63,4,1542.9,581.0,WaferRoll,522.5,3.7932
63,5,511.9,738.7,WaferRoll,343.7,3.3625
63,6,1450.4,261.8,WaferRoll,376.9,3.6932
