Country,Year,Avg_Temp_C,Precip_mm,Fertilizer_kg_ha,Pesticide_kg_ha,Irrigation_%,Mechanization_tractors_ha,Wheat_Yield_tph
Spain,2015,19.54,551.3,165.4,1.73,22.6,1.86,7.24
Spain,2016,13.37,312.2,179.1,0.94,89.6,2.39,7.93
Spain,2017,10.19,764.2,135.6,2.92,91.7,2.16,9.82
Spain,2018,13.53,492.5,220.2,1.29,20.3,1.48,7.69
Spain,2019,16.84,348.6,173.0,2.98,17.6,1.39,6.2
Spain,2020,20.53,670.4,189.4,2.26,37.4,0.88,8.66
Spain,2021,20.4,756.6,152.3,1.75,76.8,1.69,9.52
Spain,2022,18.42,697.9,228.0,1.34,38.8,0.42,9.22
France,2010,15.59,571.3,107.3,1.98,7.7,0.29,5.45
France,2011,19.87,480.1,75.4,1.81,74.3,0.7,6.12
France,2012,10.62,565.7,158.1,2.09,70.3,2.44,8.42
France,2013,16.2,461.5,209.0,1.18,44.5,0.38,8.09
France,2014,14.91,386.6,81.3,1.13,54.4,1.84,5.63
France,2015,17.92,440.0,241.0,2.34,54.9,1.61,8.52
France,2016,14.27,678.9,52.9,0.79,9.1,0.29,4.64
France,2017,20.27,651.8,144.8,0.74,49.2,1.29,7.67
France,2018,14.78,607.9,177.0,0.61,38.7,1.64,7.48
France,2019,16.04,728.2,181.7,0.91,11.4,1.68,7.79
France,2020,21.28,587.7,127.6,2.11,46.2,1.45,7.01
France,2021,21.3,493.1,242.2,2.76,22.6,0.36,8.33
France,2022,10.85,459.5,219.0,0.56,78.3,0.85,8.87
Turkey,2010,11.42,648.4,175.8,2.69,71.2,2.05,8.95
Turkey,2011,19.01,703.4,248.1,1.53,38.5,1.99,9.71
Turkey,2012,14.09,765.4,221.7,1.57,72.6,1.94,11.04
Turkey,2013,13.84,747.8,127.8,0.53,86.5,0.41,8.93
Turkey,2014,13.83,775.0,240.1,1.93,61.9,1.23,10.44
Turkey,2015,18.07,676.2,208.3,2.47,13.2,1.34,7.89
Turkey,2016,10.69,574.8,138.3,2.72,36.6,0.47,7.08
Turkey,2017,17.42,350.6,66.8,2.25,11.5,2.09,3.59
Turkey,2018,18.47,340.7,67.0,2.97,38.7,1.05,4.33
Turkey,2019,19.33,579.2,134.8,2.77,15.0,1.33,6.31
Turkey,2020,10.14,534.3,61.3,0.8,15.6,1.69,4.61
Turkey,2021,21.55,487.4,107.1,2.67,25.1,2.42,6.15
Turkey,2022,10.15,784.9,58.6,2.73,52.5,2.48,7.02
Morocco,2010,21.63,561.5,175.9,2.24,45.9,1.64,7.74
Morocco,2011,17.01,750.6,59.1,1.2,90.5,2.25,8.53
Morocco,2012,13.33,394.1,142.7,1.38,57.5,0.38,6.42
Morocco,2013,21.69,793.1,189.6,1.84,32.9,2.07,8.73
Morocco,2014,20.93,711.3,240.0,2.31,60.2,1.16,10.57
Morocco,2015,21.19,733.0,59.0,0.57,38.9,2.06,5.63
Morocco,2016,21.64,721.1,217.7,1.67,42.3,0.83,9.81
Morocco,2017,10.68,732.4,212.6,3.0,94.7,1.48,10.92
Morocco,2018,15.41,364.6,240.8,2.02,25.6,1.74,7.86
Morocco,2019,17.42,479.1,72.7,2.18,51.8,1.98,6.07
Morocco,2020,16.62,580.5,225.3,1.51,17.1,0.27,8.09
Morocco,2021,19.06,610.2,190.8,1.03,17.3,0.23,7.81
Morocco,2022,14.71,518.7,230.8,1.37,51.3,2.0,8.42
Egypt,2010,14.76,611.0,222.5,2.87,18.2,2.33,7.91
Egypt,2011,15.51,790.0,148.5,1.32,62.0,0.75,8.91
Egypt,2012,10.91,364.4,75.6,0.88,17.5,1.67,3.81
Egypt,2013,20.76,537.0,183.5,0.93,22.3,0.29,6.79
Egypt,2014,12.03,439.3,85.4,0.72,15.9,1.26,4.29
Egypt,2015,16.04,645.2,57.9,2.5,61.5,0.39,6.12
Egypt,2016,20.48,760.4,62.2,1.19,77.6,1.92,7.4
Egypt,2017,14.45,542.3,173.7,1.42,46.6,1.92,7.61
Egypt,2018,10.44,426.2,192.7,2.74,51.1,1.42,7.75
Egypt,2019,16.39,421.2,103.8,1.44,6.8,0.94,4.28
Egypt,2020,12.54,463.7,74.0,2.73,58.4,1.76,5.85
Egypt,2021,11.04,568.6,167.4,2.36,43.8,0.49,8.14
Egypt,2022,13.41,481.5,179.2,1.93,37.0,2.47,6.95
